ds	trend	cap	yhat_lower	yhat_upper	trend_lower	trend_upper	Anzac Day	Anzac Day_lower	Anzac Day_upper	Auckland Anniversary Day	Auckland Anniversary Day_lower	Auckland Anniversary Day_upper	Boxing Day	Boxing Day_lower	Boxing Day_upper	Christmas Day	Christmas Day_lower	Christmas Day_upper	Day after New Year's Day	Day after New Year's Day_lower	Day after New Year's Day_upper	Easter Monday	Easter Monday_lower	Easter Monday_upper	Good Friday	Good Friday_lower	Good Friday_upper	Labour Day	Labour Day_lower	Labour Day_upper	New Year's Day	New Year's Day_lower	New Year's Day_upper	Queen's Birthday	Queen's Birthday_lower	Queen's Birthday_upper	Waitangi Day	Waitangi Day_lower	Waitangi Day_upper	extra_regressors_multiplicative	extra_regressors_multiplicative_lower	extra_regressors_multiplicative_upper	holidays	holidays_lower	holidays_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	rain	rain_lower	rain_upper	sun	sun_lower	sun_upper	temp	temp_lower	temp_upper	weekly	weekly_lower	weekly_upper	wind	wind_lower	wind_upper	yearly	yearly_lower	yearly_upper	additive_terms	additive_terms_lower	additive_terms_upper	yhat
2018-09-04	1188.668893686752	2056.9221894390726	-703.0763833916342	2812.051532686959	1053.0132940164885	1247.4105577552195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.16041902978085032	-0.6047907431480876	0.03482454306213535	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.012095550980021604	-0.037061349574324255	0.04137941068881755	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.0032889252318780244	-0.0831855008330871	0.12831059138726178	0.0	0.0	0.0	997.9837830308466
2018-09-05	1188.7081731908493	2056.9221894390726	-604.7345919868078	2855.002754814741	1053.0180216837307	1247.4518282319536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.16359493321496382	-0.5147039404362833	0.03219957906468325	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.011141729954895235	-0.05447234121066767	0.0935292829950636	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.005511007640865153	-0.08568548535710573	0.11800787551255579	0.0	0.0	0.0	994.2415389856106
2018-09-06	1188.7474522158252	2056.9221894390726	-594.9061759490266	2879.3376689657844	1053.0229133381356	1247.4930979655107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.21104787042016737	-0.5846301321381541	0.010985562092407962	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	-0.03376827642305217	-0.08191651362898422	0.010008914867343038	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.008053938468121368	-0.08790034997062009	0.10523373431353558	0.0	0.0	0.0	937.8648339582757
2018-09-07	1188.7867307615695	2056.9221894390726	-579.8569733360054	2811.1153955095115	1053.0278329285363	1247.5343669557626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.17184173892192628	-0.6236345144192521	0.024933170142811215	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.008232957676839485	-0.04178456475913955	0.08393342627349341	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.010849041069771881	-0.0898407357408447	0.09037162310235078	0.0	0.0	0.0	984.5035517401897
2018-09-08	1188.82600882797	2056.9221894390726	-624.7202957842807	2890.3806460550977	1053.0327525176788	1247.575635202581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.1735765782415876	-0.5810140938262469	0.05694561808643382	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.009469973108812563	-0.043216385730013795	0.14831927110996623	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.013820895821406293	-0.09152240820466437	0.0738657152382456	0.0	0.0	0.0	982.4736580910077
2018-09-09	1188.8652864149153	2056.9221894390726	-576.7736777136187	3013.4100487912638	1053.0376721055627	1247.616902705838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.1380887583949751	-0.4625194988370741	0.014278240819550932	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.04802642315103101	-0.0018450251438434425	0.09689063827175243	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.016889526017012213	-0.09296586817162157	0.05620891111188156	0.0	0.0	0.0	1024.6963551149934
2018-09-10	1188.9045635222938	2056.9221894390726	-577.0456053863882	2971.38685921869	1053.0425916921881	1247.6581694654049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.24439671380801006	-0.7153796900357493	0.029319462342878185	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	-0.05519835844863415	-0.16531824525451158	0.025869380206791165	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.019972699830382058	-0.09419583519339375	0.03792944447555316	0.0	0.0	0.0	898.3401951660986
2018-09-11	1188.9438401499933	2056.9221894390726	-658.0982297814953	2836.43516177674	1053.0475112775541	1247.6972579438436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.18011838524565196	-0.5244815586843947	0.0184608121153883	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.012095550979820823	-0.037061349574423724	0.04137941068841141	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.02298828069647894	-0.0952406055515518	0.019576443055807215	0.0	0.0	0.0	974.793195514412
2018-09-12	1188.9831162979035	2056.9221894390726	-605.1106745335704	3036.258994934078	1053.052430861661	1247.7355485968037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.18394048286642029	-0.4421301856237555	0.017468610541781344	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.011141729954931762	-0.05447234121064063	0.09352928299518218	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.025856557292358123	-0.09613129017826952	0.010650873183120748	0.0	0.0	0.0	970.280987766046
2018-09-13	1189.022391965912	2056.9221894390726	-766.4456640429527	2774.1691068555842	1053.057350444508	1247.773838612678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.23149641711121047	-0.5207316201867174	-0.0019376070998587997	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	-0.033768276423058845	-0.08191651362897065	0.01000891486746067	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.02850248515915775	-0.09690094177312211	0.015569806747880392	0.0	0.0	0.0	913.767968360802
2018-09-14	1189.0616671539071	2056.9221894390726	-696.4745682167646	2880.9428948929503	1053.0622700260951	1247.8121279913657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.19185047273773836	-0.5691674157228067	0.013952443963050672	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.008232957676912683	-0.04178456475902133	0.083933426273675	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.030857774885657177	-0.09758358439975527	0.018927490838272974	0.0	0.0	0.0	960.9396241961067
2018-09-15	1189.100941861778	2056.9221894390726	-688.4622808837098	2901.7952254646584	1053.0671896064218	1247.8504167327662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.19261844899999056	-0.5365410162733519	-0.007789856277720836	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.009469973108743247	-0.043216385729957084	0.14831927110973045	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.03286276657973992	-0.09821316290512813	0.020731009040280083	0.0	0.0	0.0	960.0581627359343
2018-09-16	1189.1402160894124	2056.9221894390726	-619.0206008633174	3027.302414881226	1053.072109185488	1247.8887048367792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.15566726932247102	-0.42840367802976304	0.007407913029264966	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.048026423151008565	-0.0018450251437814246	0.09689063827160486	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.034468036944485664	-0.09882243345986776	0.02101602550069053	0.0	0.0	0.0	1004.0300058092405
2018-09-17	1189.179489836699	2056.9221894390726	-688.5365685242452	3104.860281932656	1053.0770287632931	1247.9269923033035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.2600597074282006	-0.6917832620698187	0.024522733368873107	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	-0.05519835844861632	-0.16531824525453034	0.025869380206839526	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.03563569345059034	-0.09944182021163996	0.019845324986770194	0.0	0.0	0.0	879.9218196301503
2018-09-18	1189.2187631035265	2056.9221894390726	-524.6143179530138	2811.6581835873612	1053.081948339837	1247.9652791322383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.1934704241614653	-0.5113678046516736	0.015686004643087656	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.012095550979910243	-0.037061349574429615	0.04137941068866126	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.03634031961238169	-0.10009826632322277	0.017306879759965862	0.0	0.0	0.0	959.140104585114
2018-09-19	1189.2580358897828	2056.9221894390726	-741.0803000396984	2881.253731771755	1053.0868679151195	1248.0035653234834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.19465347151723444	-0.4392695601537155	0.016617196679505588	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	0.011141729954784631	-0.05447234121076615	0.09352928299481517	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.03656954594302527	-0.100814110372083	0.013511498653527791	0.0	0.0	0.0	957.7648306740688
2018-09-20	1189.2973081953576	2056.9221894390726	-713.3393653362746	2907.592886577094	1053.0917874891402	1248.0418508769376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16922565552899385	-0.5463103418020584	0.02495252830986911	0.0	0.0	0.0	-0.23931816442226095	-0.5277113075240484	-0.0010085919994935852	0.010394741474418089	-0.0012345838502962115	0.032590428555917136	-0.08184629587510457	-0.2342285887261528	0.010554646295691807	-0.15311754805031558	-0.487525592367554	0.006513632255907474	-0.03376827642306553	-0.08191651362895708	0.010008914867578305	0.05534344692200822	0.009118833608566043	0.14285341073573116	-0.03632423247020151	-0.10160602107949739	0.008590119410431715	0.0	0.0	0.0	904.6768594457086
