ds	trend	cap	yhat_lower	yhat_upper	trend_lower	trend_upper	Anzac Day	Anzac Day_lower	Anzac Day_upper	Auckland Anniversary Day	Auckland Anniversary Day_lower	Auckland Anniversary Day_upper	Boxing Day	Boxing Day_lower	Boxing Day_upper	Christmas Day	Christmas Day_lower	Christmas Day_upper	Day after New Year's Day	Day after New Year's Day_lower	Day after New Year's Day_upper	Easter Monday	Easter Monday_lower	Easter Monday_upper	Good Friday	Good Friday_lower	Good Friday_upper	Labour Day	Labour Day_lower	Labour Day_upper	New Year's Day	New Year's Day_lower	New Year's Day_upper	Queen's Birthday	Queen's Birthday_lower	Queen's Birthday_upper	Waitangi Day	Waitangi Day_lower	Waitangi Day_upper	holidays	holidays_lower	holidays_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	weekly	weekly_lower	weekly_upper	yearly	yearly_lower	yearly_upper	additive_terms	additive_terms_lower	additive_terms_upper	yhat
2018-07-05	1140.9834147510896	2056.9221894390726	-1047.8801186347498	3248.6815697039833	857.5116648607275	1229.554836331344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06847783150610104	-0.1755541122218234	0.01696576004537087	0.010797531826428428	-0.022420495226038076	0.07431206988383171	-0.07927536333252945	-0.23638257709755947	0.008928346052818127	0.0	0.0	0.0	1062.8513447245089
2018-07-06	1140.982159512777	2056.9221894390726	-1098.690468413961	3426.084581683842	857.7380117447133	1229.5880938994253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1141216507508617	-0.3885283775569106	-0.018375228060724436	-0.039116180920163376	-0.16310042652474277	0.042117010496833626	-0.07500546983069831	-0.2254279510321679	0.0041542154194972114	0.0	0.0	0.0	1010.7713919918958
2018-07-07	1140.9809042741251	2056.9221894390726	-1062.596070363622	3215.2085618237297	857.9643907785121	1229.6213509198558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.07533888601068729	-0.21799051141016298	0.024585588563153286	-0.005737176034685115	-0.025447402714243752	0.025304905868981625	-0.06960170997600218	-0.21178117606129854	-0.0007193173058283382	0.0	0.0	0.0	1055.020673986646
2018-07-08	1140.9796490351341	2056.9221894390726	-903.0499136980811	3509.091961932903	858.1908018920228	1229.6546073925222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.038913391952695525	-0.17636180769811025	0.02605034870847755	0.024283082536685135	-0.008190297830048187	0.06223462158323939	-0.06319647448938068	-0.19573332635659516	-0.005625074730507711	0.0	0.0	0.0	1096.580260742181
2018-07-09	1140.9783937958039	2056.9221894390726	-1323.0608706326097	3354.084307765339	858.4172450151054	1229.6888843506554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.07122801705444455	-0.13208451026282753	-0.04384193244112632	-0.015286403158967546	-0.07205469575616166	0.07243523092878797	-0.05594161389547699	-0.17761426673557895	-0.010492484786299045	0.0	0.0	0.0	1059.7087653037636
2018-07-10	1140.977138556134	2056.9221894390726	-808.5160265511722	3653.050343085787	858.6437200775797	1229.7232852560653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.05126649132166745	-0.2396577697510497	0.05350892266773858	-0.003262134770572911	-0.077695464570294	0.06969778730370733	-0.04800435655109452	-0.16196230518075572	-0.015248741457170636	0.0	0.0	0.0	1082.4832439841248
2018-07-11	1140.9758833161252	2056.9221894390726	-1093.2568422542136	3351.496573908278	858.8702270092274	1229.75768556997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.01124165372107291	-0.10592763164252192	0.0772741520953862	0.028321280521268335	-0.007092490975496694	0.10217276246963504	-0.039562934242341245	-0.1454709767881265	-0.0027755746485338987	0.0	0.0	0.0	1128.14942753179
2018-07-12	1140.9746280757768	2056.9221894390726	-1141.943228837722	3379.828613574591	859.0967657397916	1229.7928809893178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.020004504824832667	-0.05581814211745549	-0.00994511837949057	0.010797531826403244	-0.022420495225873756	0.07431206988340093	-0.03080203665123591	-0.1288297706802685	0.011641785546758068	0.0	0.0	0.0	1118.1499956234234
2018-07-13	1140.9733728350893	2056.9221894390726	-1051.7912055395939	3377.219844134278	859.2896586675112	1229.828421216064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06102439878312245	-0.271860810934655	0.06361725437352082	-0.03911618092016198	-0.16310042652482748	0.042117010496933116	-0.021908217862960475	-0.11349356870189352	0.02594031264242185	0.0	0.0	0.0	1071.3461587302766
2018-07-14	1140.9721175940626	2056.9221894390726	-1036.7829639537674	3303.46247805527	859.4296418026086	1229.8412680999404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.01880255256188993	-0.0996517932532916	0.027784019515638598	-0.005737176034618751	-0.02544740271437544	0.025304905869095812	-0.013065376527271178	-0.09766283025276613	0.03980256437539612	0.0	0.0	0.0	1119.5189293813494
